Age	PropDiag	Sex
0	0	1
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
11	0	1
12	0	1
13	0	1
14	0	1
15	0	1
16	0	1
17	0	1
18	0.01	1
19	0.02	1
20	0.04	1
21	0.07	1
22	0.09	1
23	0.13	1
24	0.16	1
25	0.19	1
26	0.23	1
27	0.26	1
28	0.3	1
29	0.33	1
30	0.36	1
31	0.4	1
32	0.43	1
33	0.46	1
34	0.48	1
35	0.51	1
36	0.54	1
37	0.56	1
38	0.59	1
39	0.61	1
40	0.63	1
41	0.65	1
42	0.67	1
43	0.69	1
44	0.71	1
45	0.73	1
46	0.75	1
47	0.76	1
48	0.78	1
49	0.79	1
50	0.8	1
51	0.82	1
52	0.83	1
53	0.84	1
54	0.85	1
55	0.86	1
56	0.87	1
57	0.88	1
58	0.89	1
59	0.9	1
60	0.91	1
61	0.92	1
62	0.93	1
63	0.94	1
64	0.95	1
65	0.96	1
66	0.97	1
67	0.98	1
68	0.99	1
69	1	1
70	1	1
71	1	1
72	1	1
73	1	1
74	1	1
75	1	1
76	1	1
77	1	1
78	1	1
79	1	1
80	1	1
81	1	1
82	1	1
83	1	1
84	1	1
85	1	1
86	1	1
87	1	1
88	1	1
89	1	1
90	1	1
91	1	1
92	1	1
93	1	1
94	1	1
95	1	1
96	1	1
97	1	1
98	1	1
99	1	1
100	1	1
101	1	1
102	1	1
103	1	1
104	1	1
105	1	1
106	1	1
107	1	1
108	1	1
109	1	1
110	1	1
111	1	1
112	1	1
113	1	1
114	1	1
115	1	1
116	1	1
117	1	1
118	1	1
119	1	1
120	1	1
121	1	1
122	1	1
123	1	1
124	1	1
125	1	1
126	1	1
127	1	1
128	1	1
129	1	1
130	1	1
0	0	2
1	0	2
2	0	2
3	0	2
4	0	2
5	0	2
6	0	2
7	0	2
8	0	2
9	0	2
10	0	2
11	0	2
12	0	2
13	0	2
14	0	2
15	0	2
16	0	2
17	0	2
18	0.01	2
19	0.02	2
20	0.03	2
21	0.04	2
22	0.06	2
23	0.07	2
24	0.09	2
25	0.11	2
26	0.13	2
27	0.15	2
28	0.17	2
29	0.19	2
30	0.21	2
31	0.24	2
32	0.26	2
33	0.28	2
34	0.3	2
35	0.32	2
36	0.34	2
37	0.36	2
38	0.38	2
39	0.4	2
40	0.42	2
41	0.44	2
42	0.46	2
43	0.48	2
44	0.5	2
45	0.52	2
46	0.54	2
47	0.56	2
48	0.58	2
49	0.6	2
50	0.62	2
51	0.63	2
52	0.65	2
53	0.67	2
54	0.69	2
55	0.7	2
56	0.72	2
57	0.74	2
58	0.75	2
59	0.77	2
60	0.78	2
61	0.8	2
62	0.81	2
63	0.83	2
64	0.84	2
65	0.85	2
66	0.86	2
67	0.87	2
68	0.88	2
69	0.89	2
70	0.9	2
71	0.91	2
72	0.92	2
73	0.93	2
74	0.94	2
75	0.95	2
76	0.96	2
77	0.97	2
78	0.98	2
79	0.99	2
80	1	2
81	1	2
82	1	2
83	1	2
84	1	2
85	1	2
86	1	2
87	1	2
88	1	2
89	1	2
90	1	2
91	1	2
92	1	2
93	1	2
94	1	2
95	1	2
96	1	2
97	1	2
98	1	2
99	1	2
100	1	2
101	1	2
102	1	2
103	1	2
104	1	2
105	1	2
106	1	2
107	1	2
108	1	2
109	1	2
110	1	2
111	1	2
112	1	2
113	1	2
114	1	2
115	1	2
116	1	2
117	1	2
118	1	2
119	1	2
120	1	2
121	1	2
122	1	2
123	1	2
124	1	2
125	1	2
126	1	2
127	1	2
128	1	2
129	1	2
130	1	2
